display_bronze,display_platinum,within_promo_ins,within_display_gold,within_display_bronze,cross_box_display_gold,cross_box_display_platinum,cross_box_display_silver,Month_2,Wtd.Selling.Dist,Product.Type_Product.Type 3,Price,Month_3,within_display_platinum,within_display_silver,promo_catalogue,display_silver,display_gold,cross_box_display_bronze,cross_box_promo_ins,promo_ins,Vol.Sales
0.0,0.0,0.4065934065934065,0.0,0.0,0.0,0.0,0.0,0.0,0.5689655172413791,0.0,0.6818178788542366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6554307116104869,1.0,1.9501527272727275
0.0,0.0,0.7252747252747253,0.0,0.0,0.0,0.0,0.0,0.0,0.3407707910750507,0.0,0.7714556509648651,0.0,0.0,0.0,0.0,0.0,0.0,0.8425925925925926,0.9940699126092384,1.0,1.7382654545454543
0.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.3309668695064233,0.0,0.8604247708597543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9923343484196157,0.0,1.1479272727272727
0.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.9996619337390128,0.0,0.7572115589467177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9923343484196157,0.0,1.529529090909091
0.0,0.0,0.34065934065934056,0.0,1.0,0.18681318681318682,0.0,0.0,0.0,0.9726166328600406,0.0,0.8348896257437946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.184830909090909
0.0,0.0,0.0,0.34065934065934056,0.0,0.0,0.4945054945054945,0.0,0.0,0.3512508451656525,0.0,0.5846237339526237,0.0,0.0,0.0,0.0,0.0,0.0,0.4259259259259259,0.0,0.0,0.9707236363636365
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058147396889790426,0.0,0.2447836803451584,0.0,0.0,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.0,0.9396654545454545
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33299526707234606,0.0,0.8720295480515632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3260363636363637
0.0,0.0,0.0,0.0,0.0,0.0,0.5054945054945055,0.0,0.0,0.32995267072346157,0.0,0.8607575371736087,0.0,0.0,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.0,1.0303527272727273
0.0,0.0,0.3331043956043956,0.0,0.3331043956043956,0.0,0.0,0.0,0.0,0.3309668695064233,0.0,0.8600280616866933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,1.0391818181818182
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33434753211629487,0.0,0.8594112541356185,0.0,0.9793814432989691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3859709090909091
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3323191345503719,0.0,0.859887813929213,0.0,0.0,0.34065934065934056,0.0,0.0,0.0,0.0,0.0,0.0,1.0246163636363634
0.0,0.0,0.7252747252747253,0.0,0.0,0.0,1.0,0.0,0.0,0.34347532116294766,0.0,0.6332767344361603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8350763636363638
0.0,0.0,0.7252747252747253,0.0,0.0,0.0,0.0,0.0,0.0,0.4509803921568626,0.0,0.937803732219852,0.0,0.0,0.0,0.0,0.0,0.0,0.1574074074074074,0.0,1.0,2.0009745454545453
0.0,0.0,0.34065934065934056,0.0,0.34065934065934056,0.0,0.0,0.0,0.0,0.3323191345503719,0.0,0.8605650677765024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940699126092384,0.0,1.47292
0.0,0.0,0.34420787545787546,0.0,0.34420787545787546,0.0,0.0,0.0,0.0,0.14131169709263003,0.0,0.10374037136273628,0.0,0.0,0.0,0.0,0.0,0.0,0.1574074074074074,0.0,0.0,1.0525090909090908
