Date,PPG,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer
2020-10-04,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-10-04,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-10-04,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-10-04,Promo.Group 6,1,0,0,0,0,1,Retailer 0
2020-10-04,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-10-11,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-10-11,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-10-11,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-10-11,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-10-11,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-10-11,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-10-18,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-10-18,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-10-18,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-10-18,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-10-18,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-10-18,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-10-25,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-10-25,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-10-25,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-10-25,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-10-25,Promo.Group 6,0,0,0,0,0,0,Retailer 0
2020-10-25,Promo.Group 5,0,0,0,0,0,0,Retailer 0
2020-11-01,Promo.Group 3,0,0,0,0,0,0,Retailer 0
2020-11-01,Promo.Group 19,0,0,0,0,0,0,Retailer 0
2020-11-01,Promo.Group 20,0,0,0,0,0,0,Retailer 0
2020-11-01,Promo.Group 22,0,0,0,0,0,0,Retailer 0
2020-11-01,Promo.Group 6,0,0,0,0,0,0,Retailer 0
